country,no_of_cons,net_mcap_usdm,weight
USA,97,1295886,64.03
Japan,58,183739,9.08
Australia,28,118171,5.84
Hong Kong,14,69442,3.43
UK,28,63802,3.15
Singapore,24,61049,3.02
Canada,17,42584,2.1
France,9,36796,1.82
Switzerland,8,33034,1.63
Germany,8,32319,1.6
Sweden,25,32330,1.6
Belgium,12,20396,1.01
Israel,3,11041,0.55
Spain,2,9645,0.48
New Zealand,6,4253,0.21
Netherlands,3,2600,0.13
Korea,5,2465,0.12
Finland,2,1544,0.08
Austria,1,990,0.05
Norway,2,1036,0.05
Ireland,1,637,0.03
Italy,1,271,0.01
