sector,ticker,as_of_date,return_1m,return_ytd,return_12m,source
Diversified,TENGVU Index,2026-06-02,-4.871012566457223,0.6589882372997069,13.098416194797258,Bloomberg sector index
Healthcare,TENGEU Index,2026-06-02,-5.136341808459555,7.091811505283774,24.3248300115239,Bloomberg sector index
Industrial,TENGIU Index,2026-06-02,-1.4279041836258166,5.730668676245854,20.702565532090777,Bloomberg sector index
Industrial / Office,TENGMU Index,2026-06-02,-1.2745829622319071,-3.0184440766138576,4.575143955973893,Bloomberg sector index
Lodging / Resorts,TENGOU Index,2026-06-02,7.096778488639166,18.96306923224824,33.98269299641032,Bloomberg sector index
Office,TENGFU Index,2026-06-02,-0.4670722476099787,-4.218938008212336,-3.556487628899585,Bloomberg sector index
Residential,TENGAU Index,2026-06-02,-0.8516392036567955,-0.4463041859381178,-8.675285566904911,Bloomberg sector index
Retail,TENGTU Index,2026-06-02,-1.6440548654072518,9.571013501965497,17.958268272549162,Bloomberg sector index
Self Storage,TENGSU Index,2026-06-02,-2.0970566506771537,11.02793945362639,-1.307423426787413,Bloomberg sector index
Data Center,ENGCT Index,2026-06-02,-3.518564751831721,33.55907407488763,19.69537591106041,Bloomberg sector index
Specialty,ENGYT Index,2026-06-02,-2.2809619826793526,10.379447485366855,1.1694869614134573,Bloomberg sector index
