sector,sector_index,rank,source_order,bloomberg_ticker,search_ticker,index_weight
Diversified,TENGVU Index,1,60,GMG AT,GMG,11.419969
Diversified,TENGVU Index,2,24,8802 JT,8802,6.879988
Diversified,TENGVU Index,3,23,8801 JT,8801,6.194289
Diversified,TENGVU Index,4,3,16 HK,16,5.766828
Diversified,TENGVU Index,5,93,WPC UN,WPC,4.005496
Diversified,TENGVU Index,6,27,8830 JT,8830,3.798417
Diversified,TENGVU Index,7,88,SPSN SE,SPSN,3.346311
Diversified,TENGVU Index,8,21,823 HK,823,3.282708
Diversified,TENGVU Index,9,51,CICT SP,CICT,2.6789
Diversified,TENGVU Index,10,83,PSPN SE,PSPN,2.149683
Diversified,TENGVU Index,11,79,MRL SQ,MRL,1.894889
Diversified,TENGVU Index,12,50,CHC AT,CHC,1.713873
Diversified,TENGVU Index,13,85,SGP AT,SGP,1.665049
Diversified,TENGVU Index,14,61,GPT AT,GPT,1.635729
Diversified,TENGVU Index,15,72,LAND LN,LAND,1.623753
Diversified,TENGVU Index,16,46,AZRG IT,AZRG,1.461799
Diversified,TENGVU Index,17,73,LMP LN,LMP,1.453131
Diversified,TENGVU Index,18,22,83 HK,83,1.433982
Diversified,TENGVU Index,19,48,BLND LN,BLND,1.368638
Diversified,TENGVU Index,20,1,12 HK,12,1.30324
Diversified,TENGVU Index,21,9,3003 JT,3003,1.217297
Diversified,TENGVU Index,22,6,1997 HK,1997,1.208854
Diversified,TENGVU Index,23,29,8953 JT,8953,1.168621
Diversified,TENGVU Index,24,74,MGR AT,MGR,1.164805
Diversified,TENGVU Index,25,54,CLI SP,CLI,1.145107
Diversified,TENGVU Index,26,58,DXS AT,DXS,1.034805
Diversified,TENGVU Index,27,47,BALDB SS,BALDB,0.981855
Diversified,TENGVU Index,28,26,8804 JT,8804,0.978972
Diversified,TENGVU Index,29,42,ALLN SE,ALLN,0.975035
Diversified,TENGVU Index,30,15,3462 JT,3462,0.973524
Diversified,TENGVU Index,31,49,BNL UN,BNL,0.94568
