date,Diversified,Healthcare,Industrial,Industrial/Office,Lodgings/Resorts,Office,Residential,Retail,Self-Storage,Data Center,Specialty
2015-12-31,3.0728,5.3977,3.87,5.4695,5.4778,3.1674,2.8112,4.0892,2.6009,,
2016-01-01,3.0735,5.3992,3.8723,5.4688,5.4799,3.1681,2.8116,4.0895,2.6017,,
2016-01-04,3.1015,5.3777,3.926,5.4914,5.572,3.2033,2.8548,4.1415,2.6264,,
2016-01-05,3.0892,5.2605,3.8834,5.4457,5.4754,3.1783,2.8163,4.0824,2.5502,,
2016-01-06,3.107,5.3349,3.9009,5.4673,5.5786,3.1978,2.8434,4.0902,2.5462,,
2016-01-07,3.1592,5.4517,3.9714,5.61,5.7176,3.2606,2.8717,4.1573,2.5682,,
2016-01-08,3.1948,5.4794,4.0195,5.7278,5.8083,3.3192,2.9215,4.2381,2.5938,,
2016-01-11,3.2032,5.412,4.0139,5.6883,5.7322,3.3084,2.8966,4.2133,2.5639,,
2016-01-12,3.237,5.4726,4.045,5.7653,5.8466,3.3422,2.9036,4.2232,2.5648,,
2016-01-13,3.2248,5.5794,4.0478,5.811,6.1749,3.353,2.9322,4.2275,2.582,,
2016-01-14,3.2496,5.5797,4.0772,5.8339,6.1284,3.369,2.9549,4.2442,2.5935,,
2016-01-15,3.2931,5.5945,4.1368,5.8903,6.3587,3.4114,2.9747,4.2534,2.6219,,
2016-01-18,3.3351,5.5891,4.1445,5.8838,6.3547,3.419,2.9747,4.264,2.6176,,
2016-01-19,3.3164,5.4919,4.1138,5.8413,6.5327,3.4003,2.9344,4.2147,2.5836,,
2016-01-20,3.4191,5.7266,4.2164,6.0731,6.5114,3.4901,3.0234,4.307,2.6939,,
2016-01-21,3.4799,5.6439,4.2162,6.0955,6.3472,3.5041,3.0208,4.2773,2.6935,,
2016-01-22,3.3931,5.4808,4.1474,5.9524,6.2436,3.4358,2.9558,4.1737,2.6242,,
2016-01-25,3.3861,5.5339,4.1389,5.9892,6.346,3.4336,2.9517,4.1818,2.6232,,
2016-01-26,3.3963,5.4909,4.0681,5.8869,6.1514,3.3948,2.9134,4.1304,2.558,,
2016-01-27,3.3834,5.7355,4.0797,5.9277,6.2494,3.379,2.9536,4.1762,2.6075,,
2016-01-28,3.3922,5.792,4.1041,5.9068,6.2906,3.4246,3.0043,4.1721,2.5977,,
2016-01-29,3.2756,5.6835,4.0191,5.8089,6.0784,3.3324,2.9359,4.0947,2.5447,,
2016-02-01,3.2144,5.6474,3.9977,5.7279,6.1742,3.3201,2.9276,4.0818,2.5504,,
2016-02-02,3.2566,5.7017,4.0137,5.7829,6.3102,3.3875,2.9585,4.1041,2.5329,,
2016-02-03,3.2735,5.5764,4.0151,5.7357,6.216,3.3898,2.9426,4.0817,2.5631,,
2016-02-04,3.2769,5.5827,4.0031,5.7329,6.0304,3.3763,2.9426,4.076,2.6282,,
2016-02-05,3.3089,5.6478,4.018,5.7603,6.0724,3.4218,3.0382,4.14,2.7433,,
2016-02-08,3.3441,5.8564,4.0941,5.8367,6.1621,3.5043,3.1138,4.2081,2.8368,,
2016-02-09,3.4149,6.3856,4.1457,5.9638,6.1769,3.5872,3.1445,4.2631,2.8038,,
2016-02-10,3.4166,6.4213,4.1453,5.9255,6.1089,3.5592,3.0854,4.2578,2.7688,,
2016-02-11,3.4575,6.5932,4.273,6.0293,6.2463,3.6337,3.1481,4.3084,2.7838,,
2016-02-12,3.4957,6.562,4.2427,5.9728,6.0851,3.6418,3.1108,4.2786,2.7846,,
2016-02-15,3.3974,6.5574,4.196,5.9241,6.0419,3.5733,3.0852,4.2345,2.7816,,
2016-02-16,3.354,6.4122,4.1253,5.7947,5.8877,3.5188,3.0631,4.2052,2.7366,,
2016-02-17,3.3527,6.3265,4.1068,5.7966,5.8058,3.489,3.0462,4.1874,2.6544,,
2016-02-18,3.3152,6.1828,4.0849,5.7726,5.7002,3.4749,3.0304,4.1532,2.6584,,
2016-02-19,3.2881,6.124,4.0757,5.7493,5.7296,3.4327,2.999,4.1475,2.6014,,
2016-02-22,3.2717,6.0524,4.0548,5.6746,5.6854,3.3902,2.979,4.1316,2.5968,,
2016-02-23,3.2975,6.0453,4.04,5.7032,5.7419,3.4087,2.9974,4.1516,2.5982,,
2016-02-24,3.3054,5.992,4.0424,5.7322,5.6957,3.4009,3.0221,4.1702,2.6464,,
2016-02-25,3.3079,5.8599,4.0048,5.6362,5.5841,3.3489,2.9735,4.1099,2.5848,,
2016-02-26,3.2992,5.8302,4.0286,5.6329,5.636,3.3469,2.9839,4.1307,2.604,,
2016-02-29,3.306,5.8153,4.0421,5.6309,5.6717,3.3642,2.9818,4.131,2.6428,,
2016-03-01,3.2562,5.6537,3.9671,5.5157,5.5281,3.2989,4.7091,3.9978,2.5905,,
2016-03-02,3.2093,5.579,3.9446,5.4604,5.4288,3.2704,4.657,3.9729,2.5565,,
2016-03-03,3.1933,5.6691,3.9202,5.4114,5.3905,3.2665,4.6301,3.9746,2.5873,,
2016-03-04,3.1812,5.6972,3.9256,5.469,5.3564,3.2645,4.6447,4.0013,2.6191,,
2016-03-07,3.1872,5.6078,3.9019,5.4316,5.2929,3.2614,4.6229,3.9936,2.6052,,
2016-03-08,3.2112,5.7218,3.9348,5.5149,5.4751,3.3131,4.67,4.032,2.6349,,
2016-03-09,3.2113,5.6534,3.894,5.4568,5.472,3.2864,4.6317,4.0029,2.6083,,
2016-03-10,3.229,5.6992,3.8957,5.421,5.5209,3.283,4.6314,3.98,2.6084,,
2016-03-11,3.2038,5.5782,3.844,5.3813,5.3977,3.2218,4.5406,3.9461,2.5795,,
2016-03-14,3.1623,5.5725,3.8616,5.4058,5.3773,3.2249,4.5356,3.9506,2.6353,,
2016-03-15,3.1662,5.5977,3.871,5.3966,5.4345,3.2165,4.5116,3.9376,2.6003,,
2016-03-16,3.1578,5.553,3.8973,5.3112,5.3574,3.1886,4.4701,3.91,2.5555,,
2016-03-17,3.1381,5.5193,3.8597,5.2178,5.3517,3.1529,4.4002,3.8518,2.5344,,
2016-03-18,3.1516,5.5443,3.863,5.228,5.3099,3.1592,4.4389,3.8806,2.5481,,
2016-03-21,3.1633,5.5866,3.8558,5.1193,5.3433,3.1633,4.4348,3.9071,2.5886,,
2016-03-22,3.1465,5.5877,3.8501,5.1268,5.3939,3.1473,4.4223,3.9117,2.5898,,
2016-03-23,3.1497,5.606,3.8728,5.1523,5.4856,3.1784,4.4333,3.9279,2.5743,,
2016-03-24,3.1829,5.6045,3.8858,5.1287,5.4698,3.189,4.4531,3.9429,2.5606,,
2016-03-25,3.1806,5.6131,3.8913,5.1326,5.4821,3.1885,4.4583,3.9443,2.5644,,
2016-03-28,3.1849,5.564,3.8715,5.1159,5.4543,3.1868,4.4326,3.9358,2.541,,
2016-03-29,3.1838,5.3866,3.8186,4.9448,5.4292,3.1497,4.3472,3.86,2.4777,,
2016-03-30,3.189,5.4919,3.8451,5.0041,5.4999,3.1697,4.3682,3.8726,2.5253,,
2016-03-31,3.1882,5.4462,3.8294,4.968,5.4323,3.1725,4.3428,3.8581,2.5008,,
2016-04-01,3.2339,5.426,3.8194,4.9908,5.5639,3.1841,4.3374,3.8645,2.4913,,
2016-04-04,3.2245,5.415,3.815,4.9896,5.6328,3.1382,4.3424,3.87,2.4925,,
2016-04-05,3.2449,5.4189,3.8177,5.0076,5.6994,3.1356,4.3592,3.8881,2.5124,,
2016-04-06,3.2311,5.4422,3.8206,4.9875,5.6879,3.1323,4.3379,3.8696,2.5055,,
2016-04-07,3.236,5.4564,3.8452,4.9901,5.7786,3.176,4.3721,3.8991,2.52,,
2016-04-08,3.2199,5.4175,3.8224,4.9507,5.7357,3.1521,4.3501,3.8758,2.5115,,
2016-04-11,3.2174,5.4077,3.8326,4.9787,5.6931,3.1586,4.4082,3.8826,2.5407,,
2016-04-12,3.1977,5.3654,3.8252,4.9448,5.6053,3.1431,4.4141,3.8616,2.5227,,
2016-04-13,3.1756,5.3568,3.7978,4.945,5.524,3.131,4.4739,3.8475,2.5509,,
2016-04-14,3.1547,5.3647,3.804,4.939,5.5195,3.1311,4.5447,3.8606,2.5986,,
2016-04-15,3.1638,5.351,3.7815,4.9371,5.4948,3.1267,4.4893,3.8544,2.5867,,
2016-04-18,3.1959,5.3159,3.759,4.9158,5.5834,3.1288,4.4739,3.8459,2.5557,,
2016-04-19,3.1676,5.2842,3.7382,4.9164,5.5723,3.1141,4.4364,3.838,2.6333,,
2016-04-20,3.1684,5.4151,3.7654,4.9449,5.6575,3.1296,4.514,3.882,2.6475,,
2016-04-21,3.1502,5.5922,3.7909,5.0237,5.707,3.1273,4.574,3.9462,2.7194,,
2016-04-22,3.1556,5.5044,3.7772,5.0073,5.7561,3.1114,4.5514,4.0016,2.7088,,
2016-04-25,3.1293,5.4379,3.6863,4.9677,5.7046,3.0743,4.5034,3.9682,2.6863,,
2016-04-26,3.1301,5.3927,3.673,4.947,5.6424,3.0643,4.4991,3.9537,2.6909,,
2016-04-27,3.1367,5.3748,3.677,4.9113,5.6034,3.0568,4.5346,3.9442,2.753,,
2016-04-28,3.1554,5.4594,3.6997,4.9025,5.691,3.0609,4.5271,3.9421,2.7445,,
2016-04-29,3.1879,5.5017,3.7183,4.9923,5.7597,3.0852,4.5763,3.99,2.7978,,
2016-05-02,3.1935,5.4239,3.6932,4.9233,5.672,3.0745,4.5022,3.9454,2.7199,,
2016-05-03,3.2128,5.3583,3.6877,5.0296,5.6775,3.0895,4.5019,3.9356,2.6969,,
2016-05-04,3.2099,5.2377,3.683,4.9862,5.7144,3.0848,4.4622,3.903,2.6545,,
2016-05-05,3.2102,5.281,3.6663,4.9595,5.7211,3.0855,4.4332,3.8909,2.6309,,
2016-05-06,3.2469,5.2714,3.6535,4.908,5.6545,3.0831,4.4047,3.8727,2.5991,,
2016-05-09,3.2158,5.1838,3.6081,4.8324,5.6147,3.0557,4.352,3.838,2.5843,,
2016-05-10,3.2017,5.2689,3.5819,4.8231,5.5315,3.052,4.3412,3.8292,2.5799,,
2016-05-11,3.2348,5.3667,3.5567,4.8815,5.6647,3.1,4.405,3.9241,2.6281,,
2016-05-12,3.2484,5.3263,3.5487,4.8635,5.741,3.1052,4.4083,3.9288,2.5864,,
2016-05-13,3.2594,5.3358,3.5491,4.8677,5.8018,3.1166,4.4746,3.9813,2.6077,,
2016-05-16,3.2524,5.2927,3.5251,4.8068,5.7705,3.0983,4.4431,3.9514,2.5767,,
2016-05-17,3.2406,5.3799,3.541,4.8514,5.8686,3.1205,4.4924,3.9999,2.6331,,
2016-05-18,3.3665,5.4977,3.5684,4.8686,5.9817,3.153,4.5191,4.0481,2.6686,,
2016-05-19,3.3965,5.5513,3.5966,4.9529,6.1695,3.19,4.5824,4.0785,2.725,,
2016-05-20,3.3602,5.5203,3.5608,4.9028,6.1589,3.1657,4.5662,4.0395,2.6906,,
2016-05-23,3.3616,5.5126,3.5777,4.9156,6.1394,3.1596,4.5661,4.0491,2.6903,,
2016-05-24,3.3577,5.4752,3.549,4.8559,6.0742,3.1324,4.5371,4.013,2.667,,
2016-05-25,3.3354,5.4663,3.545,4.8702,5.9667,3.1241,4.5158,4.0108,2.6711,,
2016-05-26,3.3348,5.458,3.5546,4.8583,6.0065,3.1372,4.5164,3.9986,2.6691,,
2016-05-27,3.3252,5.4195,3.5389,4.8141,5.9679,3.1284,4.4981,3.9834,2.6551,,
2016-05-30,3.3158,5.425,3.5363,4.8117,5.9732,3.1292,4.4955,3.9814,2.6571,,
2016-05-31,3.3095,5.4288,3.5339,4.8159,5.9409,3.128,4.4937,3.9876,2.6635,,
2016-06-01,3.329,5.3955,3.5276,4.7967,5.9179,3.1237,4.5543,3.9886,2.6528,,
2016-06-02,3.3356,5.3578,3.5321,4.8072,5.8038,3.1293,4.5716,3.9939,2.6405,,
2016-06-03,3.3099,5.2769,3.5008,4.7679,5.8322,3.1146,4.5974,3.9564,2.6242,,
2016-06-06,3.3035,5.3419,3.4945,4.7643,5.8398,3.1289,4.6482,3.958,2.6544,,
2016-06-07,3.2868,5.2876,3.4748,4.7382,5.8334,3.122,4.6376,3.9458,2.6715,,
2016-06-08,3.2831,5.2849,3.451,4.7016,5.7987,3.1072,4.623,3.9122,2.7012,,
2016-06-09,3.2887,5.264,3.4664,4.676,5.8371,3.0989,4.6079,3.9037,2.7665,,
2016-06-10,3.3192,5.2723,3.4811,4.6978,5.9283,3.1311,4.6392,3.9259,2.8083,,
2016-06-13,3.3703,5.2492,3.4999,4.721,5.9609,3.156,4.6423,3.9372,2.8901,,
2016-06-14,3.3933,5.2677,3.5379,4.7509,5.9409,3.1773,4.6637,3.9531,2.9182,,
2016-06-15,3.3797,5.2286,3.5186,4.7235,5.8314,3.1678,4.6101,3.9341,2.8642,,
2016-06-16,3.4097,5.1821,3.4969,4.677,5.794,3.1773,4.5756,3.9169,2.8455,,
2016-06-17,3.4149,5.1799,3.5164,4.6806,5.7215,3.1816,4.5979,3.9285,2.878,,
2016-06-20,3.2776,5.2261,3.4763,4.9863,5.712,3.1601,4.5719,4.0369,2.8865,,
2016-06-21,3.2475,5.2009,3.4587,4.9704,5.6987,3.1454,4.5504,4.0144,2.8837,,
2016-06-22,3.2526,5.26,3.4588,4.9738,5.6674,3.1469,4.5274,4.0231,2.8784,,
2016-06-23,3.2483,5.2387,3.4515,4.9484,5.6255,3.1244,4.5426,4.0103,2.8793,,
2016-06-24,3.3655,5.2121,3.5489,4.9699,5.8816,3.2032,4.5884,4.0783,2.8825,,
2016-06-27,3.3919,5.1582,3.5889,4.9992,6.1348,3.2524,4.5609,4.004,2.7959,,
2016-06-28,3.4039,5.0953,3.5368,4.9602,6.1269,3.2219,4.5046,3.9497,2.7733,,
2016-06-29,3.3503,5.0719,3.4999,4.9174,5.8881,3.1778,4.4523,3.9537,2.7854,,
2016-06-30,3.3222,5.058,3.4874,4.8653,5.8443,3.1697,4.4159,3.933,2.7656,,
2016-07-01,3.3155,5.0225,3.4911,4.828,5.7199,3.1246,4.3957,3.9107,2.7853,,
2016-07-04,3.299,5.0199,3.4872,4.8193,5.7081,3.1228,4.3992,3.9134,2.786,,
2016-07-05,3.3203,5.0031,3.4853,4.837,5.8329,3.1317,4.3779,3.9074,2.7343,,
2016-07-06,3.3522,5.0074,3.4797,4.8155,5.7866,3.1392,4.3872,3.9249,2.7464,,
2016-07-07,3.3593,5.0937,3.5022,4.8403,5.784,3.1705,4.4163,3.9456,2.7891,,
2016-07-08,3.3536,5.0112,3.4628,4.7712,5.6577,3.1299,4.3552,3.8889,2.7411,,
2016-07-11,3.2934,4.9715,3.4309,4.7087,5.5776,3.0948,4.3312,3.8401,2.7387,,
2016-07-12,3.262,4.9943,3.4282,4.707,5.4885,3.0739,4.3318,3.8511,2.74,,
2016-07-13,3.2453,4.9592,3.4142,4.6839,5.6251,3.0611,4.3227,3.8368,2.7443,,
2016-07-14,3.2429,5.0155,3.4104,4.6978,5.6071,3.0652,4.3524,3.8549,2.7693,,
2016-07-15,3.2445,4.9798,3.4109,4.7332,5.5412,3.0794,4.3766,3.8675,2.8036,,
2016-07-18,3.2254,4.9394,3.3889,4.7065,5.4796,3.062,4.3649,3.8571,2.8042,,
2016-07-19,3.216,4.8985,3.3745,4.6892,5.4417,3.047,4.3419,3.8414,2.7952,,
2016-07-20,3.1865,4.8942,3.3592,4.6689,5.4592,3.0277,4.3454,3.8263,2.7953,,
2016-07-21,3.1721,4.8678,3.3606,4.6572,5.3722,3.0204,4.3475,3.8119,2.7971,,
2016-07-22,3.177,4.8368,3.3488,4.6527,5.2919,3.0124,4.3311,3.8074,2.7778,,
2016-07-25,3.1559,4.8309,3.3366,4.6269,5.2702,3.0026,4.32,3.7975,2.801,,
2016-07-26,3.1613,4.875,3.3121,4.664,5.3634,2.9723,4.3386,3.7988,2.828,,
2016-07-27,3.1594,4.8985,3.3385,4.691,5.4443,2.9996,4.4073,3.8202,2.8484,,
2016-07-28,3.1419,4.8478,3.2949,4.6136,5.4171,2.9752,4.3538,3.7897,2.9562,,
2016-07-29,3.1589,4.7946,3.2755,4.5464,5.3583,2.9642,4.2741,3.7631,2.9503,,
2016-08-01,3.1334,4.746,3.2707,4.5445,5.3125,2.9677,4.2487,3.753,2.9391,,
2016-08-02,3.1648,4.831,3.2976,4.5942,5.3995,2.999,4.2941,3.8046,2.9906,,
2016-08-03,3.2331,4.8501,3.3265,4.6281,5.3795,3.0078,4.3277,3.8418,3.0196,,
2016-08-04,3.2069,4.848,3.3101,4.6121,5.407,2.9971,4.3242,3.8451,3.0783,,
2016-08-05,3.1928,4.902,3.3631,4.6268,5.2749,2.9841,4.306,3.8398,3.0478,,
2016-08-08,3.1559,4.8989,3.3784,4.6268,5.2246,2.9808,4.2855,3.8449,3.0725,,
2016-08-09,3.1503,4.8411,3.3611,4.6113,5.2434,2.9774,4.2652,3.8515,3.0599,,
2016-08-10,3.1513,4.7965,3.3494,4.6095,5.265,2.9732,4.2825,3.8476,3.0466,,
2016-08-11,3.1692,4.8652,3.3657,4.641,5.3214,2.9979,4.3264,3.9042,3.0675,,
2016-08-12,3.1439,4.819,3.346,4.6503,5.3065,2.9858,4.3117,3.8915,3.0696,,
2016-08-15,3.1529,4.8326,3.3433,4.6356,5.262,2.986,4.3053,3.9092,3.0854,,
2016-08-16,3.1917,4.8807,3.3641,4.6699,5.287,3.0055,4.3604,3.9424,3.1038,,
2016-08-17,3.1945,4.8463,3.3653,4.66,5.3433,3.0043,4.3709,3.9276,3.0995,,
2016-08-18,3.1992,4.8422,3.411,4.686,5.3098,3.0026,4.3658,3.922,3.1144,,
2016-08-19,3.2119,4.8842,3.4178,4.6951,5.2885,3.0166,4.3848,3.9527,3.1546,,
2016-08-22,3.1972,4.8665,3.4127,4.666,5.266,3.0185,4.3863,3.9339,3.1253,,
2016-08-23,3.1756,4.8305,3.3951,4.6301,5.2601,3.0069,4.3829,3.9199,3.1242,,
2016-08-24,3.1851,4.8573,3.4031,4.6385,5.2869,3.0125,4.4073,3.9162,3.1482,,
2016-08-25,3.1914,4.8405,3.3976,4.6319,5.2834,3.0175,4.3925,3.9068,3.141,,
2016-08-26,3.2126,4.9396,3.4228,4.6753,5.3183,3.0357,4.4374,3.9413,3.1783,,
2016-08-29,3.223,4.8511,3.4084,4.6297,5.2754,3.0007,4.3971,3.9234,3.1392,,
2016-08-30,3.2257,4.8473,3.4197,4.6131,5.2715,3.0039,4.4372,3.9312,3.1552,,
2016-08-31,3.2253,4.8554,3.4166,4.602,5.2938,2.9899,4.4295,3.925,3.1413,,
2016-09-01,3.2262,4.8865,3.4251,4.6331,5.4042,2.9893,4.4218,3.9321,3.1136,,
2016-09-02,3.2212,4.8429,3.4038,4.603,5.4195,2.9709,4.4029,3.9176,3.1002,,
2016-09-05,3.1936,4.84,3.3865,4.5844,5.4159,2.9621,4.4083,3.9113,3.0977,,
2016-09-06,3.1789,4.7837,3.378,4.5842,5.4872,2.9451,4.3706,3.8943,3.1198,,
2016-09-07,3.1769,4.7642,3.3719,4.583,5.4762,2.9242,4.3531,3.8933,3.0955,,
2016-09-08,3.1777,4.8386,3.3873,4.6006,5.5477,2.9467,4.4285,3.9179,3.1376,,
2016-09-09,3.218,5.0722,3.4902,4.769,5.7425,3.0287,4.5618,4.0324,3.1966,,
2016-09-12,3.2565,5.0216,3.4885,4.7717,5.7234,3.002,4.501,4.0294,3.2288,,
2016-09-13,3.2983,5.1781,3.54,4.8795,5.8202,3.0619,4.5837,4.1119,3.3426,,
2016-09-14,3.3019,5.1555,3.539,4.8909,5.7912,3.0667,4.5505,4.1035,3.3323,,
2016-09-15,3.3147,5.1488,3.5517,4.8722,5.7722,3.0775,4.5394,4.0995,3.3342,,
2016-09-16,3.3224,5.1476,3.5334,4.8709,5.8059,3.0818,4.5313,4.0892,3.3317,,
2016-09-19,3.3095,5.0978,3.5113,4.8642,5.8035,3.0665,4.4749,4.0522,3.3188,,
2016-09-20,3.3083,5.0853,3.5204,4.8608,5.8155,3.0702,4.453,4.0539,3.3135,,
2016-09-21,3.2744,5.0016,3.4788,4.7947,5.7604,3.0461,4.6278,4.029,3.2924,,
2016-09-22,3.25,4.9194,3.443,4.7677,5.6821,3.0176,5.1448,3.9812,3.2317,,
2016-09-23,3.2556,4.8791,3.4231,4.7404,5.6807,3.0016,5.1272,3.9591,3.217,,
2016-09-26,3.2807,4.8624,3.4244,4.7194,5.8028,3.0122,5.1212,3.9562,3.1938,,
