date,FTSE EPRA Nareit Developed,S&P 500,MSCI World,UST 10Y,Dividend Yield
2015-12-31,3962.483,3468.95,4505.24,2.27,3.6271
2016-01-01,3962.483,3468.95,4505.24,,3.6266
2016-01-04,3909.745,3416.42,4419.22,2.24,3.6694
2016-01-05,3947.037,3423.3,4418.57,2.25,3.6291
2016-01-06,3925.7,3379.25,4363.77,2.18,3.6425
2016-01-07,3859.752,3299.22,4272.14,2.16,3.7108
2016-01-08,3817.093,3263.47,4231.91,2.13,3.7496
2016-01-11,3818.104,3266.26,4221.41,2.17,3.7483
2016-01-12,3791.136,3291.75,4232.59,2.12,3.7703
2016-01-13,3779.283,3209.83,4185.65,2.08,3.7839
2016-01-14,3750.254,3263.45,4198.64,2.1,3.8109
2016-01-15,3720.248,3193.06,4122.67,2.03,3.839
2016-01-18,3695.579,3193.06,4103.84,,3.8616
2016-01-19,3725.799,3194.78,4121.32,2.06,3.8333
2016-01-20,3624.52,3157.74,4043.61,2.01,3.9407
2016-01-21,3625.346,3174.21,4060.44,2.02,3.9443
2016-01-22,3726.263,3238.61,4166.04,2.07,3.8412
2016-01-25,3717.17,3187.97,4123.65,2.03,3.8483
2016-01-26,3759.621,3233.07,4163.28,2.01,3.8104
2016-01-27,3725.393,3198.09,4151.95,2.02,3.8465
2016-01-28,3710.372,3215.98,4155.71,2.0,3.8681
2016-01-29,3792.576,3295.65,4235.72,1.94,3.7795
2016-02-01,3822.781,3294.26,4247.89,1.97,3.7444
2016-02-02,3780.902,3232.58,4173.02,1.87,3.7863
2016-02-03,3808.074,3249.5,4178.86,1.88,3.7779
2016-02-04,3820.277,3254.91,4201.14,1.87,3.7793
2016-02-05,3759.772,3194.88,4133.45,1.86,3.8292
2016-02-08,3685.292,3149.86,4064.92,1.75,3.9099
2016-02-09,3626.43,3148.24,4038.13,1.74,3.9807
2016-02-10,3635.712,3148.4,4033.89,1.71,3.9828
2016-02-11,3607.105,3110.08,3986.14,1.63,4.0304
2016-02-12,3605.958,3171.02,4033.98,1.74,4.0278
2016-02-15,3650.556,3171.02,4081.5,,3.9682
2016-02-16,3699.279,3224.14,4125.76,1.78,3.9124
2016-02-17,3721.87,3277.51,4192.2,1.81,3.8961
2016-02-18,3754.013,3262.34,4191.37,1.75,3.8632
2016-02-19,3779.588,3262.58,4177.17,1.76,3.8382
2016-02-22,3809.9,3309.74,4231.2,1.77,3.8005
2016-02-23,3789.672,3268.66,4184.35,1.74,3.8181
2016-02-24,3777.721,3283.29,4168.2,1.75,3.8378
2016-02-25,3830.855,3321.1,4221.8,1.71,3.7942
2016-02-26,3816.554,3315.17,4223.63,1.76,3.7978
2016-02-29,3808.712,3288.45,4204.19,1.74,3.8093
2016-03-01,3885.845,3366.99,4280.71,1.83,3.9457
2016-03-02,3926.661,3381.21,4315.86,1.84,3.9199
2016-03-03,3951.006,3393.28,4344.9,1.83,3.9117
2016-03-04,3959.407,3404.55,4371.45,1.88,3.9118
2016-03-07,3958.648,3407.72,4370.55,1.91,3.9162
2016-03-08,3938.762,3369.86,4333.01,1.83,3.9359
2016-03-09,3944.2,3387.3,4346.45,1.9,3.931
2016-03-10,3937.41,3387.97,4343.27,1.93,3.9427
2016-03-11,4017.081,3444.19,4422.95,1.98,3.8741
2016-03-14,4031.27,3440.0,4426.69,1.97,3.8581
2016-03-15,4026.757,3433.72,4404.06,1.97,3.8603
2016-03-16,4049.938,3453.11,4410.61,1.94,3.8392
2016-03-17,4134.7,3475.92,4469.79,1.91,3.7944
2016-03-18,4118.707,3491.22,4477.13,1.88,3.8064
2016-03-21,4093.53,3494.68,4472.43,1.92,3.826
